[2026-03-13T01:19:23.995Z] GET    /  | IP: ::1 | User: guest
[2026-03-13T01:19:24.041Z] GET    /blog  | IP: ::1 | User: guest
[2026-03-13T01:20:38.188Z] GET    /auth/login  | IP: ::1 | User: guest
[2026-03-13T01:20:44.387Z] GET    /blog/search?q=test  | IP: ::1 | User: guest
[2026-03-13T01:20:50.409Z] GET    /blog  | IP: ::1 | User: guest
[2026-03-13T01:25:24.724Z] GET    /blog  | IP: ::1 | User: guest
[2026-03-13T01:25:35.499Z] GET    /auth/register  | IP: ::1 | User: guest
[2026-03-13T01:26:11.958Z] POST   /auth/register  | IP: ::1 | User: guest
[2026-03-13T01:26:12.389Z] GET    /auth/login  | IP: ::1 | User: guest
[2026-03-13T01:26:16.240Z] POST   /auth/login  | IP: ::1 | User: guest
[2026-03-13T01:26:16.252Z] GET    /auth/login  | IP: ::1 | User: guest
[2026-03-13T01:26:46.629Z] POST   /auth/login  | IP: ::1 | User: guest
[2026-03-13T01:26:47.007Z] GET    /dashboard  | IP: ::1 | User: Zulqarnain
[2026-03-13T01:26:47.096Z] GET    /uploads/default-avatar.png  | IP: ::1 | User: Zulqarnain
[2026-03-13T01:28:52.602Z] GET    /dashboard/posts/create  | IP: ::1 | User: Zulqarnain
[2026-03-13T01:28:52.692Z] GET    /uploads/default-avatar.png  | IP: ::1 | User: Zulqarnain
[2026-03-13T01:51:12.298Z] GET    /blog  | IP: ::1 | User: guest
[2026-03-13T01:52:17.267Z] GET    /auth/register  | IP: ::1 | User: guest
[2026-03-13T01:53:19.464Z] POST   /auth/register  | IP: ::1 | User: guest
[2026-03-13T01:53:21.967Z] GET    /auth/login  | IP: ::1 | User: guest
[2026-03-13T01:54:23.795Z] POST   /auth/login  | IP: ::1 | User: guest
[2026-03-13T01:54:26.165Z] GET    /dashboard  | IP: ::1 | User: testuser1
[2026-03-13T01:54:26.389Z] GET    /uploads/default-avatar.png  | IP: ::1 | User: testuser1
[2026-03-13T01:55:03.830Z] GET    /dashboard/settings  | IP: ::1 | User: testuser1
[2026-03-13T01:55:04.487Z] GET    /uploads/default-avatar.png  | IP: ::1 | User: testuser1
